SP500,SF1,ZEP,Sector,DateInSP500,DateOutSP500
CMCSA,CMCSA,CMCSA,Consumer Discretionary,11/18/02,01/01/20
CME,CME,CME,Financials,08/10/06,01/01/20
CMG,CMG,CMG,Consumer Discretionary,04/27/11,01/01/20
CMI,CMI,CMI,Industrials,01/01/99,01/01/20
CMS,CMS,CMS,Utilities,01/01/99,01/01/20
CMX,CMX,CMX,Health Care,03/24/04,03/22/07
CNC,CNC,CNC,Health Care,03/29/16,01/01/20
CNO,CNO,CNO,Financials,01/01/99,07/24/02
CNP,CNP,CNP,Utilities,01/01/99,01/01/20
CNX,CNX,CNX,Energy,06/27/06,03/03/16
COF,COF,COF,Financials,01/01/99,01/01/20
COG,COG,COG,Energy,06/20/08,01/01/20
COH,COH,COH,Consumer Discretionary,08/31/04,01/01/20
COL,COL,COL,Industrials,06/29/01,01/01/20
COMS,COMS,COMS,Information Technology,01/01/99,07/27/00
COP,COP,COP,Energy,01/01/99,01/01/20
COST,COST,COST,Consumer Staples,01/01/99,01/01/20
COV,COV,COV,Health Care,02/28/11,01/26/15
CPB,CPB,CPB,Consumer Staples,01/01/99,01/01/20
CPGX,CPGX,CPGX,Energy,07/01/15,07/05/16
CPN,CPN,CPN,Utilities,11/30/00,12/01/05
CPWR,CPWR,CPWR,Information Technology,01/01/99,12/30/11
CR,CR,CR,Industrials,01/01/99,12/17/04
CRM,CRM,CRM,Information Technology,09/12/08,01/01/20
CSC,CSC,CSC,Information Technology,01/01/99,11/30/15
CSCO,CSCO,CSCO,Information Technology,01/01/99,01/01/20
CSRA,CSRA,CSRA,Information Technology,11/30/15,01/01/20
CSX,CSX,CSX,Industrials,01/01/99,01/01/20
CTAS,CTAS,CTAS,Industrials,02/28/01,01/01/20
CTB,CTB,CTB,Consumer Discretionary,01/01/99,07/17/06
CTL,CTL,CTL,Telecommunications,01/01/99,01/01/20
CTSH,CTSH,CTSH,Information Technology,11/16/06,01/01/20
CTX,CTX,CTX,Consumer Discretionary,01/01/99,08/18/09
CTXS,CTXS,CTXS,Information Technology,01/01/99,01/01/20
CVC,CVC,CVC,Consumer Discretionary,12/17/10,06/23/16
CVG,CVG,CVG,Information Technology,06/12/00,12/18/09
CVH,CVH,CVH,Health Care,08/29/05,05/08/13
CVS,CVS,CVS,Consumer Staples,01/01/99,01/01/20
CVX,CVX,CVX,Energy,01/01/99,01/01/20
CXO,CXO,CXO,Energy,02/19/16,01/01/20
D,D,D,Utilities,01/01/99,01/01/20
DAL,DAL,DAL,Industrials,09/10/13,08/18/05
DCN,DCNAQ,DCNAQ,Consumer Discretionary,01/01/99,03/02/06
DD,DD,DD,Materials,01/01/99,01/01/20
DDR,DDR,DDR,Real Estate,03/22/07,03/27/09
DDS,DDS,DDS,Consumer Discretionary,01/01/99,10/21/08
DE,DE,DE,Industrials,01/01/99,01/01/20
DELL,DELL,DELL,Information Technology,01/01/99,10/28/13
DF,DF,DF,Consumer Staples,03/31/06,05/23/13
DFS,DFS,DFS,Financials,06/29/07,01/01/20
DG,DG,DG,Consumer Discretionary,11/30/12,07/06/07
DGX,DGX,DGX,Health Care,12/11/02,01/01/20
DHI,DHI,DHI,Consumer Discretionary,07/01/05,01/01/20
DHR,DHR,DHR,Industrials,01/01/99,01/01/20
DIS,DIS,DIS,Consumer Discretionary,01/01/99,01/01/20
DISCA,DISCA,DISCA,Consumer Discretionary,02/26/10,01/01/20
DJ,DJ,DJ,Consumer Discretionary,01/01/99,12/13/07
DLPH,DLPH,DLPH,Consumer Discretionary,12/21/12,01/01/20
DLR,DLR,DLR,Real Estate,05/17/16,01/01/20
DLTR,DLTR,DLTR,Consumer Discretionary,12/16/11,01/01/20
DLX,DLX,DLX,Industrials,01/01/99,12/17/04
DNB,DNB,DNB,Industrials,12/01/08,10/02/00
DNR,DNR,DNR,Energy,04/01/09,03/20/15
DO,DO,DO,Energy,02/25/09,01/01/20
DOV,DOV,DOV,Industrials,01/01/99,01/01/20
DOW,DOW,DOW,Materials,01/01/99,01/01/20
DPS,DPS,DPS,Consumer Staples,10/03/08,01/01/20
DRI,DRI,DRI,Consumer Discretionary,01/01/99,01/01/20
DTE,DTE,DTE,Utilities,01/01/99,01/01/20
DTV,DTV2,DTV,Consumer Discretionary,12/01/06,07/28/15
DUK,DUK,DUK,Utilities,01/01/99,01/01/20
DV,DV,DV,Consumer Discretionary,06/08/09,09/28/12
DVA,DVA,DVA,Health Care,07/30/08,01/01/20
DVN,DVN,DVN,Energy,08/29/00,01/01/20
DYN,DYN,DYN,Utilities,10/02/00,12/18/09
EA,EA,EA,Information Technology,07/19/02,01/01/20
EBAY,EBAY,EBAY,Information Technology,07/19/02,01/01/20
EC,EC1,EC_,Materials,01/01/99,06/05/06
ECL,ECL,ECL,Materials,01/01/99,01/01/20
ED,ED,ED,Utilities,01/01/99,01/01/20
EDS,EDS,EDS_,Information Technology,01/01/99,08/26/08
EFX,EFX,EFX,Industrials,01/01/99,01/01/20
EIX,EIX,EIX,Utilities,01/01/99,01/01/20
EL,EL,EL,Consumer Staples,01/04/06,01/01/20
EMC,EMC,EMC,Information Technology,01/01/99,01/01/20
EMN,EMN,EMN,Materials,01/01/99,01/01/20
EMR,EMR,EMR,Industrials,01/01/99,01/01/20
ENDP,ENDP,ENDP,Health Care,01/26/15,01/01/20
EOG,EOG,EOG,Energy,11/01/00,01/01/20
EOP,EOP,EOP,Financials,10/09/01,02/09/07
EP,EP,EP,Energy,01/01/99,05/17/12
EQ,EQ,EQ,Telecommunications,05/17/06,06/30/09
EQIX,EQIX,EQIX,Real Estate,03/20/15,01/01/20
EQR,EQR,EQR,Real Estate,11/30/01,01/01/20
EQT,EQT,EQT,Energy,12/18/08,01/01/20
ES,ES,ES,Utilities,03/16/09,01/01/20
ESRX,ESRX,ESRX,Health Care,09/25/03,01/01/20
ESS,ESS,ESS,Real Estate,04/01/14,01/01/20
ESV,ESV,ESV,Energy,07/30/12,03/29/16
ETFC,ETFC,ETFC,Financials,03/31/04,01/01/20
ETN,ETN,ETN,Industrials,01/01/99,01/01/20
ETR,ETR,ETR,Utilities,01/01/99,01/01/20
EW,EW,EW,Health Care,03/31/11,01/01/20
EXC,EXC,EXC,Utilities,01/01/99,01/01/20
EXPD,EXPD,EXPD,Industrials,10/09/07,01/01/20
EXPE,EXPE,EXPE,Consumer Discretionary,10/01/07,01/01/20
EXR,EXR,EXR,Real Estate,01/15/16,01/01/20
F,F,F,Consumer Discretionary,01/01/99,01/01/20
FAST,FAST,FAST,Industrials,09/12/08,01/01/20
FB,FB,FB,Information Technology,12/20/13,01/01/20
FBF,FBF,FBF,Financials,01/01/99,03/31/04
FBHS,FBHS,FBHS,Consumer Discretionary,06/23/16,01/01/20
FCX,FCX,FCX,Materials,01/01/99,01/01/20
FDC,FDC,FDC,Information Technology,01/01/99,09/24/07
FDO,FDO,FDO,Consumer Discretionary,08/03/01,07/08/15
FDX,FDX,FDX,Industrials,01/01/99,01/01/20
FE,FE,FE,Utilities,01/01/99,01/01/20
FFIV,FFIV,FFIV,Information Technology,12/17/10,01/01/20
FHN,FHN,FHN,Financials,05/03/02,06/21/13
FII,FII,FII,Financials,04/15/03,01/01/13
FIS,FIS,FIS,Information Technology,11/09/06,01/01/20
FISV,FISV,FISV,Information Technology,03/30/01,01/01/20
FITB,FITB,FITB,Financials,01/01/99,01/01/20
FL,FL,FL,Consumer Discretionary,04/01/16,01/01/20
FLIR,FLIR,FLIR,Information Technology,12/31/08,01/01/20
FLR,FLR,FLR,Industrials,12/21/00,01/01/20
FLS,FLS,FLS,Industrials,10/01/08,01/01/20
FMC,FMC,FMC,Materials,08/18/09,12/31/01
FNM,FNMA,FNMA,Financials,01/01/99,09/10/08
FOSL,FOSL,FOSL,Consumer Discretionary,04/03/12,01/04/16
FOX,FOX,FOX,Consumer Discretionary,"September 18, 2015",01/01/20
FRT,FRT,FRT,Real Estate,01/29/16,01/01/20
FRX,FRX,FRX,Health Care,11/21/00,06/30/14
FSH,FSH,FSH,Health Care,08/02/04,11/09/06
FSL.B,FSLB,FSL_B,Information Technology,12/02/04,12/01/06
FSLR,FSLR,FSLR,Information Technology,10/15/09,01/01/20
FTI,FTI,FTI,Energy,06/04/09,01/01/20
FTR,FTR,FTR,Telecommunications,02/26/01,01/01/20
FWC,FWLT,FWLT,Industrials,01/01/99,01/28/00
GAS,GAS,GAS,Utilities,12/12/11,06/30/16
GAS (Old),GAS1,GAS_,Utilities,01/01/99,12/12/11
GD,GD,GD,Industrials,01/01/99,01/01/20
GDT,GDT,GDT,Health Care,01/01/99,04/21/06
GDW,GDW,GDW,Financials,01/01/99,09/29/06
GE,GE,GE,Industrials,01/01/99,01/01/20
GEN,GEN1,GEN_2,Utilities,04/02/01,07/16/03
GENZ,GENZ,GENZ,Health Care,12/13/01,04/01/11
GGP,GGP,GGP,Real Estate,12/09/13,11/12/08
GHC,GHC,GHC,Health Care,12/28/07,09/19/14
GILD,GILD,GILD,Health Care,06/30/04,01/01/20
GIS,GIS,GIS,Consumer Staples,01/01/99,01/01/20
GX,GLBC,GLBC,Telecommunications,01/01/99,10/09/01
GLW,GLW,GLW,Information Technology,01/01/99,01/01/20
GM,GM,GM,Consumer Discretionary,06/06/13,06/02/09
GMCR,GMCR,GMCR,Consumer Staples,03/21/14,03/04/16
GME,GME,GME,Consumer Discretionary,12/13/07,04/22/16
